2024-03-25 02:22:47.105 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-03-25 02:22:47.610 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-25 02:22:47.658 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-25 02:22:47.803 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-25 02:22:48.135 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-25 02:22:48.382 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-03-25 02:22:48.389 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-03-25 02:22:48.395 [main] INFO  c.e.f.FinanceTrackerApplication - Started FinanceTrackerApplication in 2.714 seconds (process running for 3.059)
2024-03-25 02:22:49.185 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-25 02:22:49.186 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-25 02:22:49.189 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-03-25 02:42:52.092 [main] INFO  c.e.f.FinanceTrackerApplication - Starting FinanceTrackerApplication using Java 21.0.2 with PID 14919 (/home/silenth/IdeaProjects/Finance_Tracker/build/classes/java/main started by silenth in /home/silenth/IdeaProjects/Finance_Tracker)
2024-03-25 02:42:52.097 [main] INFO  c.e.f.FinanceTrackerApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-25 02:42:52.516 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-25 02:42:52.552 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31 ms. Found 3 JPA repository interfaces.
2024-03-25 02:42:52.815 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-03-25 02:42:52.821 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-03-25 02:42:52.822 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-25 02:42:52.822 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-25 02:42:52.851 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-25 02:42:52.851 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 728 ms
2024-03-25 02:42:52.940 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-25 02:42:52.975 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-03-25 02:42:53.002 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-03-25 02:42:53.161 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-25 02:42:53.176 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-25 02:42:53.368 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5b7ee56c
2024-03-25 02:42:53.369 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-25 02:42:53.386 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-03-25 02:42:53.938 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-25 02:42:53.986 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-25 02:42:54.182 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-25 02:42:54.533 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-25 02:42:54.797 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-03-25 02:42:54.805 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-03-25 02:42:54.811 [main] INFO  c.e.f.FinanceTrackerApplication - Started FinanceTrackerApplication in 2.973 seconds (process running for 3.314)
2024-03-25 02:43:03.994 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-25 02:43:03.994 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-25 02:43:03.994 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-03-25 02:43:46.183 [http-nio-8080-exec-9] ERROR c.e.f.exceptions.ExceptionsHandler - error, 500 code
2024-03-25 02:43:59.103 [http-nio-8080-exec-2] ERROR c.e.f.exceptions.ExceptionsHandler - error, 500 code
2024-03-25 02:44:02.738 [http-nio-8080-exec-3] ERROR c.e.f.exceptions.ExceptionsHandler - error, 500 code
2024-03-25 02:44:11.254 [http-nio-8080-exec-5] INFO  c.e.f.service.TrackerService - Finding transactions by user username: silenth
2024-03-25 02:44:11.254 [http-nio-8080-exec-5] INFO  c.e.f.service.TrackerService - Transactions by user username silenth not found in cache, retrieving from database
2024-03-25 02:44:11.315 [http-nio-8080-exec-5] INFO  c.e.f.service.TrackerService - Transactions by user username silenth retrieved from database, adding to cache
2024-03-25 02:57:45.883 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-25 02:57:45.884 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-25 02:57:45.888 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-03-25 02:57:47.677 [main] INFO  c.e.f.FinanceTrackerApplication - Starting FinanceTrackerApplication using Java 21.0.2 with PID 15776 (/home/silenth/IdeaProjects/Finance_Tracker/build/classes/java/main started by silenth in /home/silenth/IdeaProjects/Finance_Tracker)
2024-03-25 02:57:47.678 [main] INFO  c.e.f.FinanceTrackerApplication - No active profile set, falling back to 1 default profile: "default"
2024-03-25 02:57:48.113 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-25 02:57:48.144 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 3 JPA repository interfaces.
2024-03-25 02:57:48.421 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-03-25 02:57:48.426 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-03-25 02:57:48.427 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-03-25 02:57:48.427 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-25 02:57:48.456 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-03-25 02:57:48.456 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 732 ms
2024-03-25 02:57:48.538 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-03-25 02:57:48.566 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-03-25 02:57:48.583 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-03-25 02:57:48.708 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-25 02:57:48.721 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-03-25 02:57:48.898 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5b7ee56c
2024-03-25 02:57:48.899 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-03-25 02:57:48.915 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-03-25 02:57:49.421 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-03-25 02:57:49.460 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-25 02:57:49.591 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-03-25 02:57:49.922 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-25 02:57:50.168 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-03-25 02:57:50.175 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-03-25 02:57:50.182 [main] INFO  c.e.f.FinanceTrackerApplication - Started FinanceTrackerApplication in 2.762 seconds (process running for 3.192)
2024-03-25 02:57:53.341 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-25 02:57:53.341 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-03-25 02:57:53.342 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-03-25 02:58:17.265 [http-nio-8080-exec-5] INFO  c.e.f.service.TrackerService - Finding transactions by user username: silenth
2024-03-25 02:58:17.265 [http-nio-8080-exec-5] INFO  c.e.f.service.TrackerService - Transactions by user username silenth not found in cache, retrieving from database
2024-03-25 02:58:17.330 [http-nio-8080-exec-5] INFO  c.e.f.service.TrackerService - Transactions by user username silenth retrieved from database, adding to cache
2024-03-25 02:58:22.796 [http-nio-8080-exec-6] INFO  c.e.f.service.TrackerService - Finding transactions by user username: silenths
2024-03-25 02:58:22.796 [http-nio-8080-exec-6] INFO  c.e.f.service.TrackerService - Transactions by user username silenths not found in cache, retrieving from database
2024-03-25 02:58:57.284 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-03-25 02:58:57.285 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-03-25 02:58:57.289 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-03-25 02:58:59.236 [main] INFO  c.e.f.FinanceTrackerApplication - Starting FinanceTrackerApplication using Java 21.0.2 with PID 16183 (/home/silenth/IdeaProjects/Finance_Tracker/build/classes/java/main started by silenth in /home/silenth/IdeaProjects/Finance_Tracker)
2024-03-25 02:58:59.238 [main] INFO  c.e.f.FinanceTrackerApplication - No active profile set, falling back to 1 default profile: "default"
